Bemerkungen,Johannistrieb,nicht.gerade,Referenz,mehr.ressourcen,Flaeche.bedeckt,Pseudomonas syringae,gruene.Hoehe,tot,keine.baeume,von Nekrose bedroht,Foto,KONTROLLIEREN,Bärlauchdiebe,tote Hooehe
krebs aceria,F,F,F,F,F,T,,F,F,,F,F,F,
"Krebs an dem ast, der auch mit ETS lebt. Auf Plot lag die Krone eines umgestürzten toten Holunders und hat die Pflanzen niedergedrück.",F,F,F,F,F,F,,F,F,,F,F,F,
Krebs an Terminalknospe,F,F,F,F,F,T,,F,F,,F,F,F,
krebs galle,F,F,F,F,F,T,,F,F,,F,F,F,
krebs t1,F,F,F,F,F,T,,F,F,,F,F,F,
"Krebs,",F,F,F,F,F,T,,F,F,,F,F,F,
"krebs, t2 von nekrose bedroht, foto 119-1823 - 1827",F,F,F,F,F,T,,F,F,T2,T,F,F,
krebs/galle,F,F,F,F,F,T,,F,F,,F,F,F,
Krebs/Galle,F,F,F,F,F,T,,F,F,,F,F,F,
Krebsgalle,F,F,F,F,F,T,,F,F,,F,F,F,
kriechend,F,T,F,F,F,F,,F,F,,F,F,F,
kriechend auf dem boden,F,T,F,F,F,F,,F,F,,F,F,F,
Kriechend von Totholz begraben,F,T,F,F,F,F,,F,F,,F,F,F,
"kriechend, 23 cm lang",F,T,F,F,F,F,,F,F,,F,F,F,
"kriechend, im Würmerhaufen",F,T,F,F,F,F,,F,F,,F,F,F,
"kriechend, von Totholz begraben",F,T,F,F,F,F,,F,F,,F,F,F,
"kriechend, weniger als 45°",F,T,F,F,F,F,,F,F,,F,F,F,
kriechend+,F,T,F,F,F,F,,F,F,,F,F,F,
kriecht,F,T,F,F,F,F,,F,F,,F,F,F,
krumm,F,T,F,F,F,F,,F,F,,F,F,F,
krumm und schief und unter Holz,F,T,F,F,F,F,,F,F,,F,F,F,
KRÜPPELIG,F,T,F,F,F,F,,F,F,,F,F,F,
L 1100mm,F,T,F,F,F,F,,F,F,,F,F,F,
lag unter totholz,F,T,F,F,F,F,,F,F,,F,F,F,
lebendig bis 282,F,F,F,F,F,F,282,F,F,,F,F,F,
lehrbuchbeispiel,F,F,F,F,F,F,,F,F,,T,F,F,
liegend,F,T,F,F,F,F,,F,F,,F,F,F,
liegt,F,T,F,F,F,F,,F,F,,F,F,F,
liegt fast,F,T,F,F,F,F,,F,F,,F,F,F,
liegt fast auf dem Boden,F,T,F,F,F,F,,F,F,,F,F,F,
liegt halb auf dem Boden und uist aus was dickerem ausgetrieben,F,T,F,T,F,F,,F,F,,F,F,F,
liegt unter Holz,F,T,F,F,F,F,,F,F,,F,F,F,
liegt zur Hälft aufm Bodn,F,T,F,F,F,F,,F,F,,F,F,F,
liegt zur Hälfte,F,T,F,F,F,F,,F,F,,F,F,F,
liegt zur Hälfte auf dem Boden,F,T,F,F,F,F,,F,F,,F,F,F,
liegt zur Hälfte aufdem Boden,F,T,F,F,F,F,,F,F,,F,F,F,
"Liegt, wurzelt am vorletzten Jahrestrieb",F,T,F,F,F,F,,F,F,,F,F,F,
Maulswurfshügel,F,F,F,F,F,F,,F,F,,F,F,F,
mehrere Triebe aus einem Wurzelstock,F,F,F,T,F,F,,F,F,,F,F,F,
mit Krebswucherung an abgestorbenen Ast,F,F,F,F,F,T,,F,F,,F,F,F,
"Mittig ein kürzlich abgestorbener Baum, vermutlich Feldahorn, BHD 15cm",F,F,F,F,F,F,,F,F,,F,F,F,
"Neben Plot ist Baum angekippt, S&W angehoben da auf Wurzelteller",F,F,F,F,F,F,,F,F,,F,F,F,
Nekrose am Haupttrieb gefährdet quasi alle,F,F,F,F,F,F,,F,F,T99,F,T,F,
neuaqustrieb aus altem Rest,F,F,F,T,F,F,,F,F,,F,F,F,
Neuastrieb aus dem Astloch eines umgestürtzten Baumes,F,F,F,T,F,F,,F,F,,F,F,F,
Neuaustrieb aud dickem,F,F,F,T,F,F,,F,F,,F,F,F,
neuaustrieb aus altem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
"Neuaustrieb aus Ast, der außerhalb des Plottes wurzelt",F,F,F,T,F,F,,F,F,,F,F,F,
neuaustrieb aus dickerem trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Neuaustrieb aus stärkerem Trieb.,F,F,F,T,F,F,,F,F,,F,F,F,
neuer trieb an altem starken bäumchen. Eigentlich älter,F,F,F,T,F,F,,F,F,,F,F,F,
nieder gedrückt,F,T,F,F,F,F,,F,F,,F,F,F,
niedergedrückt durch Ast,F,T,F,F,F,F,,F,F,,F,F,F,
Nordquadrant fast komplett von Buche 105 ausfgefüllt.,F,F,T,F,T,F,,F,F,,F,F,F,
nur 1 Quadrant aufgenommen/ x4,F,F,F,F,F,F,,F,F,,F,T,F,
oben waagerecht,F,T,F,F,F,F,,F,F,,F,F,F,
Oberen T3 von Nekrose bedroht,F,F,F,F,F,F,,F,F,T3,F,F,F,
"Oberer Teil des Triebes ""abgefault"", Knospe fehlt. Auch sehr weich wie ausgehöhlt.",F,F,F,F,F,F,,F,F,,F,F,F,
oberer teil schräg,F,T,F,F,F,F,,F,F,,F,F,F,
"oberster Trieb schließt mit komischen weißen Kallus ab, Foto",F,F,F,F,F,T,,F,F,,T,F,F,
"optisch nicht sehr vital, ist aber auf jedem fall noch lebend.",F,F,F,F,F,F,,F,F,,F,F,F,
pflanze tot,F,F,F,F,F,F,,T,F,,F,F,F,
Pflanze tot,F,F,F,F,F,F,,T,F,,F,F,F,
Plagiotroph,F,T,F,F,F,F,,F,F,,F,F,F,
Plot +- mit Winkelsegge bewachsen,F,F,F,F,T,F,,F,F,,F,F,F,
"plot auf Grundwasserniveau, viel oberflächiges Wasser",F,F,F,F,F,F,,F,F,,F,F,F,
Plot auf Rückegasse,F,F,F,F,F,F,,F,F,,F,T,F,
Plot befindet sich exakt zwischen den Bäumen 278 und 279,F,F,T,F,F,F,,F,F,,F,F,F,
plot größtenteils von großem stubben bedeckt,F,F,F,F,T,F,,F,F,,F,F,F,
plot in senke,F,F,F,F,F,F,,F,F,,F,F,F,
Plot liegt schräg in Senke ,F,F,F,F,F,F,,F,F,,F,F,F,
"Plot mit darüber liegendem Gebüsch, dass von einem starken Totast nieder gedrückt wird",F,F,F,F,T,F,,F,F,,F,F,F,
plot mit kronenteilen,F,F,F,F,T,F,,F,F,,F,F,F,
plot unter schlagabraum,F,F,F,F,T,F,,F,F,,F,F,F,
Plot von Bärlauchdieben umgegraben,F,F,F,F,F,F,,F,F,,F,F,T,
Plot von Brombeeren und Weißdorn zwei Meter hoch überwuchert,F,F,F,F,T,F,,F,F,,F,F,F,
"Plott auf alter Fahrspur, im NW-Quadrant alter stubben",F,F,F,F,F,F,,F,F,,F,T,F,
Ploz halb im Graben,F,F,F,F,T,F,,F,F,,F,F,F,
potenziell von einer nekrose betroffen: t1,F,F,F,F,F,F,,F,F,T1,F,F,F,
Quadrant ca 12 cm mit Aushub aus der Bodengrube bedeckt. Keine Bäume,F,F,F,F,F,F,,F,T,,F,F,F,
Quadrant komplett von Erle 109 ausgefüllt.,F,F,T,F,T,F,,F,F,,F,F,F,
Quadrant mit großer toten Esche,F,F,F,F,F,F,,F,F,,F,F,F,
RAND,F,F,F,F,F,F,,F,F,,F,F,F,
Rand,F,F,F,F,F,F,,F,F,,F,F,F,
rand,F,F,F,F,F,F,,F,F,,F,F,F,
Randeffekt -> Übersprungen,F,F,F,F,F,F,,F,F,,F,F,F,
Referenz Baum 118 steht 80cm südlich des SO Quadranten (Mitte),F,F,T,F,F,F,,F,F,,F,F,F,
Referenz Baum 390 genau in der Mitte,F,F,T,F,F,F,,F,F,,F,F,F,
Referenz Baum 76 in 90 cm vom so Quadranten (Mitte),F,F,T,F,F,F,,F,F,,F,F,F,
Referenzbaum 173 steht auf SE-Ecke,F,F,T,F,F,F,,F,F,,F,F,F,
Referenzbaum 226 20cm nördlich der Nordkante,F,F,T,F,F,F,,F,F,,F,F,F,
Referenzbaum Esche 301,F,F,T,F,F,F,,F,F,,F,F,F,
"Rückegasse, direkt auf der Fahrspur, n und o steht unter Wasser",F,F,F,F,F,F,,F,F,,F,T,F,
s.o.,F,F,F,F,F,F,,F,F,,F,F,F,
schief,F,T,F,F,F,F,,F,F,,F,F,F,
Schilfartiger Grashorst über einem Drittel des Plottes,F,F,F,F,T,F,,F,F,,F,F,F,
schräg,F,T,F,F,F,F,,F,F,,F,F,F,
"schräg, sehr",F,T,F,F,F,F,,F,F,,F,F,F,
Sehr starker Baumstamm liegt über dem Quadranten,F,F,F,F,F,F,,F,F,,F,F,F,
Seitenaustrieb aus älterem,F,F,F,T,F,F,,F,F,,F,F,F,
seitenaustrieb baum eigentlich älter,F,F,F,T,F,F,,F,F,,F,F,F,
Seitentrieb spitze abgestorben,F,F,F,F,F,F,,F,F,,F,F,F,
so ein Bisschen schief : ),F,T,F,F,F,F,,F,F,,F,F,F,
stamm lieg über plott,F,F,F,F,T,F,,F,F,,F,F,F,
"stark gebogen, stockausschlag",F,T,F,T,F,F,,F,F,,F,F,F,
stark geknickt,F,T,F,F,F,F,,F,F,,F,F,F,
stark gekrümmt,F,T,F,F,F,F,,F,F,,F,F,F,
stark kriechend,F,T,F,F,F,F,,F,F,,F,F,F,
stark umgeknickt,F,T,F,F,F,F,,F,F,,F,F,F,
"stark umgeknickt, letztes jahr höher weil umgenickt, foto nr 108-1618 bis -1612",F,T,F,F,F,F,,F,F,,T,F,F,
stark verbissen,F,F,F,F,F,F,,F,F,,F,F,F,
"Starkes Totholz auf Plot gestürzt, keine Bäume",F,F,F,F,T,F,,F,T,,F,F,F,
Starkes Totholz liegt im Plot,F,F,F,F,T,F,,F,F,,F,F,F,
steht schief,F,T,F,F,F,F,,F,F,,F,F,F,
steinchen im zwiesel,F,F,F,F,F,F,,F,F,,F,F,F,
Stockauschlag aus älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
stockausschlag,F,F,F,T,F,F,,F,F,,F,F,F,
Stockausschlag,F,F,F,T,F,F,,F,F,,F,F,F,
Stockausschlag aus älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Stöckausschlag aus Älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Stockausschlag aus Baum 156,F,F,F,T,F,F,,F,F,,F,F,F,
Stockausschlag aus stärkerem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
Stubben auf Quadrant,F,F,F,F,F,F,,F,F,,F,F,F,
stubben im norden,F,F,F,F,F,F,,F,F,,F,F,F,
T mit Krebs,F,F,F,F,F,T,,F,F,,F,F,F,
"t1 von nekrose bedroht, krebs",F,F,F,F,F,T,,F,F,T1,F,F,F,
t2 von Nekrose betroffen,F,F,F,F,F,F,,F,F,T2,F,F,F,
T3: potentiell von Nekroser betroffenme Triebe,F,F,F,F,F,F,,F,F,T3,F,F,F,
T6 echter Eschenkrebs am Stamm,F,F,F,F,F,T,,F,F,,F,F,F,
teile einer krone liegen über plot,F,F,F,F,T,F,,F,F,,F,F,F,
teilweise unter Tothiolz,F,T,F,F,F,F,,F,F,,F,F,F,
"Terminalknospe Krebs, länge 275 mm: liegend",F,T,F,F,F,T,,F,F,,F,F,F,
Terminaltrieb von Nekrose bedroht,F,F,F,F,F,F,,F,F,T1,F,F,F,
TH (tote Höhe) 95,F,F,F,F,F,F,,F,F,,F,F,F,95
"th 1181, Vermutlich sind leute durch den Plot gelaufen",F,F,F,F,F,F,,F,F,,F,F,F,1181
th 305,F,F,F,F,F,F,,F,F,,F,F,F,305
TH 75,F,F,F,F,F,F,,F,F,,F,F,F,75
tH 84,F,F,F,F,F,F,,F,F,,F,F,F,84
TH: 326,F,F,F,F,F,F,,F,F,,F,F,F,326
TH: 54,F,F,F,F,F,F,,F,F,,F,F,F,54
TH: 834,F,F,F,F,F,F,,F,F,,F,F,F,834
TH: 98,F,F,F,F,F,F,,F,F,,F,F,F,98
th66,F,F,F,F,F,F,,F,F,,F,F,F,66
"Tiefzwiesel, direkt über Boden Waagerechter Wuchs, bei 17cm Abstand gehen beide Triebe in die senkrechte über",F,T,F,F,F,F,,F,F,,F,F,F,
tot,F,F,F,F,F,F,,T,F,,F,F,F,
Tote gut verrottete Buirke auf Plot liegend,F,F,F,F,F,F,,F,F,,F,F,F,
tote Höhe  104 ,F,F,F,F,F,F,,F,F,,F,F,F,104
tote höhe 131,F,F,F,F,F,F,,F,F,,F,F,F,131
tote Höhe 157,F,F,F,F,F,F,,F,F,,F,F,F,157
tote Höhe 169,F,F,F,F,F,F,,F,F,,F,F,F,169
tote höhe 610,F,F,F,F,F,F,,F,F,,F,F,F,610
tote höhe 62,F,F,F,F,F,F,,F,F,,F,F,F,62
tote Höhe 64,F,F,F,F,F,F,,F,F,,F,F,F,64
tote Höhe 75,F,F,F,F,F,F,,F,F,,F,F,F,75
tote Höhe 79,F,F,F,F,F,F,,F,F,,F,F,F,73
Tote Höhe: 55,F,F,F,F,F,F,,F,F,,F,F,F,55
Tote Höhe: 65,F,F,F,F,F,F,,F,F,,F,F,F,65
Toter Baum auf Plot,F,F,F,F,T,F,,F,F,,F,F,F,
toter gröberer Ast auf dem plot,F,F,F,F,F,F,,F,F,,F,F,F,
"toter Trieb wesentlich höher, neuaustrieb ganz unten ",F,F,F,F,F,F,,F,F,,F,F,F,
totholz lag drauf,F,T,F,F,F,F,,F,F,,F,F,F,
treibt aus alten stärkerem trieb aus,F,F,F,T,F,F,,F,F,,F,F,F,
"treibt aus älterem abgebrochenen, stärkeren aus",F,F,F,T,F,F,,F,F,,F,F,F,
Trieb ist haarig.,F,F,F,F,F,F,,F,F,,F,F,F,
"Trieb mit Aufschürfung, wohl kein ETS",F,F,F,F,F,F,,F,F,,F,F,F,
Triebaustritt aus an Boden liegendem Trieb,F,F,F,F,F,F,,F,F,,F,F,F,
Triebe stimmt so,F,F,F,F,F,F,,F,F,,F,F,F,
umgeknickt,F,T,F,F,F,F,,F,F,,F,F,F,
"umgenagt, liegend",F,T,F,F,F,F,,F,F,,F,F,F,
"Umgestürzte Esche (40cm Durchmesser) hängt 50cm über Plot. Rechts über Plot abgesägt da dort der Zaun ist. Noch bewurzelt, treibt auf der Oberseite wieder aus.",F,F,F,F,F,F,,F,F,,F,F,F,
"Ungestürzter Baum (242), Krone bedeckt Plott komplett. 127-2087",F,F,F,F,T,F,,F,F,,T,F,F,
unsichere Artbestimmung,F,F,F,F,F,F,,F,F,,F,T,F,
unten schief,F,T,F,F,F,F,,F,F,,F,F,F,
unten wieder ausgetrieben,F,F,F,F,F,F,,F,F,,F,F,F,
unter Farnwedel,F,F,F,F,T,F,,F,F,,F,F,F,
Unter Krone umgestürzter Ulme,F,F,F,F,T,F,,F,F,,F,F,F,
unter kronenteilen und holz,F,F,F,F,T,F,,F,F,,F,F,F,
unter schlagabraum,F,T,F,F,T,F,,F,F,,F,F,F,
"Unter Totast frisch begraben, darum negativer Zuwachs",F,T,F,F,T,F,,F,F,,F,F,F,
unter totholz begraben,F,T,F,F,T,F,,F,F,,F,F,F,
Unter Totholz-Haufen,F,F,F,F,T,F,,F,F,,F,F,F,
"Unter Totholz-Haufen, baum 43 auf fläche",F,F,T,F,T,F,,F,F,,F,F,F,
"Unter umgesürzter Krone und Brennnesseln begraben, keine Bäume",F,F,F,F,T,F,,F,T,,F,F,F,
Unter vielen umgestürzten aber oft noch grünen Kronen und so schattig.,F,F,F,F,T,F,,F,F,,F,F,F,
unterer Teil am Bodenliegend,F,T,F,F,F,F,,F,F,,F,F,F,
unterer Teil liegt,F,T,F,F,F,F,,F,F,,F,F,F,
unterer Teil stark schief,F,T,F,F,F,F,,F,F,,F,F,F,
unterer Teil unter Totholz begraben,F,F,F,F,F,F,,F,F,,F,F,F,
"ursprüngliche Höhe 388, grüne 270",F,F,F,F,F,F,270,F,F,,F,F,F,
vergraben unter Totholz,F,T,F,F,F,F,,F,F,,F,T,F,
verknickt,F,T,F,F,F,F,,F,F,,F,F,F,
vermutlich Austrieb aus älterem Trieb,F,F,F,T,F,F,,F,F,,F,F,F,
vermutlich doch Bergahorn,F,F,F,F,F,F,,F,F,,F,T,F,
"Vermutlich länger, aber abgebrochen.",F,F,F,F,F,F,,F,F,,F,F,F,
Vermutlich Wuchs eines einzelnen Triebes aus Unterlage. ,F,F,F,T,F,F,,F,F,,F,F,F,
Vermutlich zugeschüttete Bodengrube aufgroßem Teil des Plottes,F,F,F,F,T,F,,F,F,,F,F,F,
verscdhimmelt,F,F,F,F,F,F,,F,F,,F,F,F,
viel Himbeere und Brombeere im Plot,F,F,F,F,F,F,,F,F,,F,F,F,
Viel schwaches Totholz liegt auf dem Plot,F,F,F,F,T,F,,F,F,,F,F,F,
viel Totholz,F,F,F,F,T,F,,F,F,,F,F,F,
viel Totholz auf dem Plot,F,F,F,F,T,F,,F,F,,F,F,F,
"viele Bäumchen verbissen und viele tot, grabespuren",F,F,F,F,F,F,,F,F,,F,T,F,
viele tote Bergahorne,F,F,F,F,F,F,,F,F,,F,T,F,
"viele tote kleine ahorne, viele verbissen, vermutlich überflutet",F,F,F,F,F,F,,F,F,,F,T,F,
von gelben schleimpilz überwuchert,F,F,F,F,F,F,,F,F,,F,F,F,
von totholz erschlagen,F,T,F,F,F,F,,F,F,,F,F,F,
von Totholz niedergedrückt,F,T,F,F,F,F,,F,F,,F,F,F,
von totholz umgeknickt,F,T,F,F,F,F,,F,F,,F,F,F,
wächst  einer kurve,F,T,F,F,F,F,,F,F,,F,F,F,
wächst auf stubben,F,F,F,F,F,F,,F,F,,F,F,F,
Wächst erst runter und dann wieder hoch,F,T,F,F,F,F,,F,F,,F,F,F,
wächst im Bogen,F,T,F,F,F,F,,F,F,,F,F,F,
WÄCHST IM Bogen,F,T,F,F,F,F,,F,F,,F,F,F,
wächst im zick zack,F,T,F,F,F,F,,F,F,,F,F,F,
Wächst liegendes-S-Förmig  davon Totholz niedergedrückt,F,T,F,F,F,F,,F,F,,F,F,F,
wächst nach unten,F,T,F,F,F,F,,F,F,,F,F,F,
"Wahrscheinlich dieses Jahr abgestorben, (2022), wächst im Bogen darum alle Höhen gleich",F,T,F,F,F,F,,F,F,,F,F,F,
Wahrscheinlich Stockausschlag aus dem folgendem,F,F,F,T,F,F,,F,F,,F,F,F,
Wahrscheinlich Wurzelbrut / unterirdischer Stockaustrieb,F,F,F,T,F,F,,F,F,,F,F,F,
Wahrscheinlich Wurzelbrut mit dem größten,F,F,F,T,F,F,,F,F,,F,F,F,
War von Totholzasst niedergedrückt,F,T,F,F,F,F,,F,F,,F,F,F,
Wegbeschreibung,F,F,F,F,F,F,,F,F,,F,T,F,
WEGBÖSCHUNG,F,F,F,F,F,F,,F,F,,F,T,F,
"Weißdorn 3 +- gleichgroße Triebe. 2 Senkrecht.Ganzer Plot voll Brombeere, die den 3. Weißdorntrieb runter drücken. Unter Brombeere alte Brombeere, tot. Unter toter Brombeere stehendes Wasser.",F,F,F,F,T,F,,F,F,,F,F,F,
"Weißdorn wächst über Plot, zwei große Totholzstämme",F,F,F,F,T,F,,F,F,,F,F,F,
"Weißdornast liegt quer über dem Plot, nicht angewurzelt",F,F,F,F,T,F,,F,F,,F,F,F,
"Weißdornast weitere 4 von Nekrose bedroht, über Nordquadrant",F,F,F,F,F,F,,F,F,T4,F,T,F,
wildschweine haben gegraben,F,F,F,F,T,F,,F,F,,F,F,F,
"wirklich so lang, augenscheinlich keine absenkerbewurzelung",F,F,F,F,F,F,,F,F,,F,F,F,
witzig gebogene Esche,F,T,F,F,F,F,,F,F,,F,F,F,
womöglich alle drei ein Stock,F,F,F,F,F,F,,F,F,,F,F,F,
Wurzelaustrieb?,F,F,F,T,F,F,,F,F,,F,F,F,
Wurzelbrut,F,F,F,T,F,F,,F,F,,F,F,F,
wurzelbrut,F,F,F,T,F,F,,F,F,,F,F,F,
wurzelbrut-Busch,F,F,F,T,F,F,,F,F,,F,F,F,
Wurzelbrut-Busch,F,F,F,T,F,F,,F,F,,F,F,F,
Wurzelbrut-Büschel,F,F,F,T,F,F,,F,F,,F,F,F,
"wurzelbrut, aber einzeln",F,F,F,T,F,F,,F,F,,F,F,F,
Wurzelschaden?,F,F,F,F,F,F,,F,F,,F,F,F,
"wurzelt im Westen, größter Teil am Boden, 557 lang",F,T,F,F,F,F,,F,F,,F,F,F,
zaun,F,F,F,F,F,F,,F,F,,F,F,F,
"Zerlatscht von Bärlauchdieben, Daten aber brauchbar",F,F,F,F,F,F,,F,F,,F,F,T,
zwei mal aceria fraxinivora,F,F,F,F,F,T,,F,F,,F,F,F,
"Zwiesel, dieses jahr der andere Trieb höher als letztes Jahr. Dieser Trieb war letztes Jahr 180 hoch. Davor beide gleich.",F,F,F,F,F,F,,F,F,,F,F,F,
zwiter Trieb sieht scheiße aus aber nicht tot,F,F,F,F,F,F,,F,F,,F,F,F,
