"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","x","y"
"211","47Pla",47,"Plattenwald",0,0,0,0,0,47,3,0,367,230,3888,74,0,0,0,490760.940618206,5429436.79665945
"212","47Sch",47,"Schotten",0,0,0,0,0,30,3,19,174.4,149,670,71,0,1,1,59.7260812635677,47.8839985067772
"213","47Wei",47,"Weisweil",0,0,0,0,0,11,2,0,214.5,134,1014,97,0,0,0,402122.168883406,5342690.39434465
"214","48Huy",48,"Huy",0,0,0,0,0,53,3,31,253.4,220,1034,80,1,3,4,35.0263792571935,103.319504581919
"215","48Mol",48,"Mollenfelde",0,0,0,0,0,2,1,2,136.5,136.5,217,56,0,0,0,81.64,49.74
"216","48Pla",48,"Plattenwald",0,0,0,0,0,18,3,4,308.2,111.5,1611,69,2,1,2,490754.446137723,5429444.40071911
"217","48Sch",48,"Schotten",0,0,0,0,1,3,1,0,4056.7,4180,5500,2490,0,0,0,57.9598903423726,38.1155732213083
"218","48Wei",48,"Weisweil",0,0,0,0,0,2,2,0,71.5,71.5,89,54,0,0,0,402112.292,5342688.83
"219","49Huy",49,"Huy",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,44.0746497818537,107.364407851787
"220","49Mol",49,"Mollenfelde",0,0,0,0,0,3,1,3,76,78,94,56,0,0,0,85.1149051467407,40.4510407738594
"221","49Pla",49,"Plattenwald",0,0,0,0,0,28,3,4,113.3,105,224,55,0,0,0,490747.951657239,5429452.00477876
"222","49Sch",49,"Schotten",0,0,0,0,0,1,1,1,215,215,215,215,0,0,0,56.1936994211775,28.3471479358394
"223","49Wei",49,"Weisweil",0,0,0,0,0,5,1,0,878.4,578,1717,308,0,0,0,402102.415116594,5342687.26565535
"224","4Huy",4,"Huy",0,0,0,0,0,61,3,45,90.7,80,211,28,0,0,0,92.508425934088,76.5198326692557
"225","4Mol",4,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,16.0388667565027,56.5468464860536
"226","4Pla",4,"Plattenwald",0,0,1,0,0,65,5,16,237.5,214,1544,40,2,2,2,490805.455396969,5429461.66500221
"227","4Sch",4,"Schotten",0,0,0,0,0,10,3,3,500,93,4200,45,0,0,0,108.079786426639,38.9638423391251
"228","4Wei",4,"Weisweil",0,0,0,0,0,112,2,10,90,88.5,148,46,0,0,0,402133.119295959,5342621.25616081
"229","50Huy",50,"Huy",0,0,0,0,0,4,2,3,172,144,350,50,0,1,1,53.1229203065139,111.409311121655
"230","50Mol",50,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,97.7858799273607,34.6720867464469
"231","50Pla",50,"Plattenwald",0,0,0,0,1,8,2,2,92.6,85.5,176,55,0,0,0,490740.347597583,5429445.51029828
"232","50Sch",50,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,54.4275084999824,18.5787226503705
"233","50Wei",50,"Weisweil",0,0,0,0,0,42,1,0,194.9,140.5,785,70,0,0,0,402092.538233188,5342685.7013107
"234","51Huy",51,"Huy",0,0,0,0,0,38,2,37,72.5,69,213,37,1,0,1,62.1711908311741,115.454214391523
"235","51Mol",51,"Mollenfelde",0,0,0,0,0,5,2,3,129,75,343,58,0,0,0,94.3109747806199,43.9610459725874
"236","51Pla",51,"Plattenwald",0,0,0,0,0,82,3,4,181.5,125.5,450,55,0,0,0,490746.842078067,5429437.90623862
"237","51Sch",51,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,44.7567674673682,20.3627538839009
"238","51Wei",51,"Weisweil",0,0,0,0,0,1,1,0,119,119,119,119,0,0,0,402082.661349782,5342684.13696605
"239","52Huy",52,"Huy",0,0,0,0,0,9,2,5,562.1,127,3383,47,0,0,0,71.2194613558343,119.499117661392
"240","52Mol",52,"Mollenfelde",0,0,0,0,0,3,2,2,93.3,78,133,69,0,0,0,90.8360696338792,53.250005198728
"241","52Pla",52,"Plattenwald",0,0,0,0,0,46,4,5,357.9,176,1545,51,1,1,1,490753.33655855,5429430.30217897
"242","52Sch",52,"Schotten",0,0,0,0,0,9,3,2,3231.9,2685,6782,207,0,0,0,46.5229583885633,30.1311791693698
"243","52Wei",52,"Weisweil",0,0,0,0,0,47,1,0,303.9,123,4435,73,0,0,0,402072.784466376,5342682.5726214
"244","53Huy",53,"Huy",0,0,0,0,0,19,2,16,166.4,139,480,35,0,1,1,80.2677318804945,123.54402093126
"245","53Mol",53,"Mollenfelde",0,0,0,0,0,6,1,0,170.2,117.5,471,85,0,0,0,87.3611644871384,62.5389644248686
"246","53Pla",53,"Plattenwald",0,0,0,0,0,23,4,2,205,128,1629,75,1,0,1,490759.831039033,5429422.69811931
"247","53Sch",53,"Schotten",0,0,0,0,0,9,4,3,754.8,286,3717,164,0,0,0,48.2891493097584,39.8996044548387
"248","53Wei",53,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402071.220121726,5342692.4495048
"249","54Huy",54,"Huy",0,0,0,0,0,3,1,0,2031.7,2155,2790,1150,0,0,0,89.3160024051547,127.588924201128
"250","54Mol",54,"Mollenfelde",0,0,0,0,0,3,2,1,75,72,105,48,0,0,0,83.8862593403977,71.8279236510092
"251","54Pla",54,"Plattenwald",0,0,0,0,1,1,1,0,2383,2383,2383,2383,0,0,0,490766.325519517,5429415.09405966
"252","54Sch",54,"Schotten",0,0,0,0,0,20,4,5,774,357,5080,122,1,1,1,50.0553402309535,49.6680297403076
"253","54Wei",54,"Weisweil",0,0,0,0,0,7,2,1,144.7,95,451,75,1,1,1,402081.097005132,5342694.01384945
"254","55Huy",55,"Huy",0,0,0,0,1,65,4,62,144.5,129,434,50,4,3,7,98.3642729298149,131.633827470996
"255","55Mol",55,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,80.4113541936569,81.1168828771498
"256","55Pla",55,"Plattenwald",0,0,0,0,0,2,2,0,1549.5,1549.5,2875,224,0,0,0,490772.82,5429407.49
"257","55Sch",55,"Schotten",0,0,0,0,0,60,5,11,411.2,248,2440,62,1,0,1,51.8215311521486,59.4364550257765
"258","55Wei",55,"Weisweil",0,0,0,0,0,3,2,0,179.7,198,252,89,0,0,0,402090.973888538,5342695.57819411
"259","56Huy",56,"Huy",0,0,0,0,0,3,1,3,64,54,104,34,0,0,0,107.412543454475,135.678730740864
"260","56Mol",56,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,76.9364490469162,90.4058421032904
"261","56Pla",56,"Plattenwald",0,0,0,0,0,49,6,14,277.3,103,6135,50,1,2,2,490779.314480483,5429399.88594034
"262","56Sch",56,"Schotten",0,0,0,0,0,10,3,3,208.7,169.5,562,89,1,1,1,53.5877220733437,69.2048803112454
"263","56Wei",56,"Weisweil",0,0,0,0,0,6,1,0,119.3,121.5,145,95,0,0,0,402100.850771944,5342697.14253876
"264","57Huy",57,"Huy",0,0,0,0,0,40,4,34,92.2,81,235,36,1,2,3,103.154750538824,144.274587739292
"265","57Mol",57,"Mollenfelde",0,0,0,0,0,23,3,0,172,145,430,59,0,0,0,73.4615439001755,99.6948013294309
"266","57Pla",57,"Plattenwald",0,0,0,0,1,47,6,7,152,103,1484,48,0,0,0,490785.808960967,5429392.28188069
"267","57Sch",57,"Schotten",0,0,0,0,0,1,1,1,245,245,245,245,1,0,1,55.3539129945388,78.9733055967143
"268","57Wei",57,"Weisweil",0,0,0,0,0,6,2,0,1405.2,1031.5,3557,80,0,0,0,402110.72765535,5342698.70688341
"269","58Huy",58,"Huy",0,0,0,0,0,133,4,116,129,112,565,33,3,1,4,94.1064800141642,140.229684469423
"270","58Mol",58,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,69.9866387534347,108.983760555572
"271","58Pla",58,"Plattenwald",0,0,0,0,1,7,1,0,652.3,483,1654,321,0,0,0,490792.30344145,5429384.67782103
"272","58Sch",58,"Schotten",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,57.1201039157339,88.7417308821831
"273","58Wei",58,"Weisweil",0,0,0,0,0,17,1,0,344,343,771,134,0,0,0,402120.604538756,5342700.27122806
"274","59Huy",59,"Huy",0,0,0,0,0,21,4,9,464.8,270,1801,66,1,1,2,85.058209489504,136.184781199555
"275","59Mol",59,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,79.1827083873139,112.4937657543
"276","59Pla",59,"Plattenwald",0,0,0,0,1,2,1,0,1846.5,1846.5,2681,1012,0,0,0,490798.797921933,5429377.07376138
"277","59Sch",59,"Schotten",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,47.4493628831197,90.5257621157136
"278","59Wei",59,"Weisweil",0,0,0,0,0,16,3,0,152,136,336,88,0,0,0,402130.481422162,5342701.83557271
"279","5Huy",5,"Huy",0,0,0,0,0,23,3,15,105.7,100,163,43,0,0,0,83.4601554094278,72.4749293993875
"280","5Mol",5,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,19.5137719032435,47.257887259913
"281","5Pla",5,"Plattenwald",0,0,0,0,0,19,3,5,215.4,114,698,50,0,0,0,490817.334778763,5429432.35834276
"282","5Sch",5,"Schotten",0,0,0,0,0,6,4,1,473,492,542,355,0,0,0,109.845977347834,48.732267624594
"283","5Wei",5,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402142.996179365,5342622.82050546
"284","60Huy",60,"Huy",0,0,0,0,0,12,3,9,196.1,106.5,605,65,0,1,1,76.0099389648438,132.139877929687
"285","60Mol",60,"Mollenfelde",0,0,0,0,0,9,4,1,373,225,863,99,0,0,0,82.6576135340546,103.204806528159
"286","60Pla",60,"Plattenwald",0,0,0,0,0,1,1,0,4500,4500,4500,4500,0,0,0,490791.193862277,5429370.57928089
"287","60Sch",60,"Schotten",0,0,0,0,0,22,5,12,276.2,188,1407,95,3,0,3,45.6831719619246,80.7573368302447
"288","60Wei",60,"Weisweil",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,402119.040194105,5342710.14811146
"289","61Huy",61,"Huy",0,1,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,66.9616684401836,128.094974659819
"290","61Mol",61,"Mollenfelde",0,0,0,0,0,5,3,2,2040.6,1215,6110,636,1,2,2,86.1325186807954,93.9158473020184
"291","61Pla",61,"Plattenwald",0,0,0,0,0,3,2,0,541,549,775,299,0,0,0,490784.699381794,5429378.18334055
"292","61Sch",61,"Schotten",0,0,0,0,0,41,4,2,313,221,1664,99,0,0,0,43.9169810407295,70.9889115447758
"293","61Wei",61,"Weisweil",0,0,0,0,0,5,2,1,104.4,102,150,56,0,0,0,402109.163310699,5342708.58376681
"294","62Huy",62,"Huy",0,0,0,0,0,17,2,14,347.7,143,1130,50,0,2,2,57.9133979155234,124.050071389951
"295","62Mol",62,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,89.6074238275361,84.6268880758778
"296","62Pla",62,"Plattenwald",0,0,0,0,0,58,5,9,170.2,92.5,3291,46,0,0,0,490778.204901311,5429385.7874002
"297","62Sch",62,"Schotten",0,0,0,0,0,18,6,10,343.1,333,743,101,0,0,0,42.1507901195344,61.2204862593069
"298","62Wei",62,"Weisweil",0,0,0,0,0,2,1,0,151,151,224,78,0,0,0,402099.286427293,5342707.01942216
"299","63Huy",63,"Huy",0,0,0,0,0,25,3,21,158.3,112,599,40,0,1,1,48.8651273908632,120.005168120082
"300","63Mol",63,"Mollenfelde",0,0,0,0,0,13,1,0,153.5,138,371,77,0,0,0,93.0823289742769,75.3379288497372
"301","63Pla",63,"Plattenwald",0,0,0,0,0,13,5,0,399,362,949,125,0,0,0,490771.710420827,5429393.39145986
"302","63Sch",63,"Schotten",0,0,0,0,0,13,4,4,1459.1,1112,4152,349,1,1,2,40.3845991983393,51.452060973838
"303","63Wei",63,"Weisweil",0,0,0,0,0,21,2,0,277.2,273,609,74,0,0,0,402089.409543887,5342705.45507751
"304","64Huy",64,"Huy",0,0,0,0,0,15,3,6,418.5,421,860,59,0,4,4,39.816856866203,115.960264850214
"305","64Mol",64,"Mollenfelde",0,0,0,0,0,5,1,0,421.2,156,1336,85,0,0,0,96.5572341210176,66.0489696235966
"306","64Pla",64,"Plattenwald",0,0,0,0,0,16,3,0,905.2,136,3179,95,0,0,0,490765.215940344,5429400.99551952
"307","64Sch",64,"Schotten",0,0,0,0,0,35,4,8,376.1,327,1044,176,2,1,3,38.6184082771442,41.6836356883691
"308","64Wei",64,"Weisweil",0,0,0,0,0,21,2,0,146.8,109,775,45,0,0,0,402079.532660481,5342703.89073286
"309","65Huy",65,"Huy",0,0,1,0,0,6,2,5,585.7,339.5,2094,54,0,2,2,62.7038755245329,136.690831658246
"310","65Mol",65,"Mollenfelde",0,0,0,0,0,15,5,4,172.9,163,355,51,0,0,0,100.032139267758,56.7600103974561
"311","65Pla",65,"Plattenwald",0,0,0,0,0,50,4,3,191.4,110,1120,46,0,0,0,490758.721459861,5429408.59957917
"312","65Sch",65,"Schotten",0,0,0,0,0,59,5,20,375.3,190,2098,80,0,0,0,36.8522173559491,31.9152104029002
"313","65Wei",65,"Weisweil",0,0,0,0,0,17,2,0,251.5,133,1005,69,0,0,0,402077.968315831,5342713.76761627
"314","66Huy",66,"Huy",0,0,0,0,0,7,2,5,359.4,115,1125,26,0,1,1,71.7521460491931,140.735734928114
"315","66Mol",66,"Mollenfelde",0,0,1,0,0,1,1,0,824,824,824,824,0,0,0,103.507044414499,47.4710511713155
"316","66Pla",66,"Plattenwald",0,0,0,0,1,4,3,1,283,270.5,523,68,0,0,0,490752.226979377,5429416.20363883
"317","66Sch",66,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,35.086026434754,22.1467851174313
"318","66Wei",66,"Weisweil",0,0,0,0,1,4,1,0,1659.8,1672.5,2460,834,0,0,0,402087.845199237,5342715.33196092
"319","67Huy",67,"Huy",0,0,0,0,0,42,4,31,242.5,234,593,49,2,5,7,80.8004165738533,144.780638197982
"320","67Mol",67,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,106.98194956124,38.1820919451749
"321","67Pla",67,"Plattenwald",0,0,0,0,0,75,6,2,148.1,119,518,41,0,0,0,490745.732498894,5429423.80769849
"322","67Sch",67,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,25.4152854021398,23.9308163509617
"323","67Wei",67,"Weisweil",0,0,0,0,1,3,2,0,207.3,202,291,129,0,0,0,402097.722082643,5342716.89630557
"324","68Huy",68,"Huy",0,0,0,0,0,100,4,87,121.8,100,665,43,2,1,3,89.8486870985135,148.825541467851
"325","68Mol",68,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,116.178019195119,41.6920971439029
"326","68Pla",68,"Plattenwald",0,0,0,0,0,34,3,4,106.5,108,175,56,0,0,0,490739.238018411,5429431.41175814
"327","68Sch",68,"Schotten",0,0,0,0,0,44,3,0,199.2,184,523,44,0,0,0,27.1814763233349,33.6992416364306
"328","68Wei",68,"Weisweil",0,0,0,0,0,10,2,4,258.4,179.5,680,102,0,1,1,402096.157737992,5342726.77318897
"329","69Huy",69,"Huy",0,0,0,0,0,21,5,13,226.6,139,1425,21,0,1,1,98.8969576231736,152.870444737719
"330","69Mol",69,"Mollenfelde",0,0,0,0,0,31,4,15,66,61,190,32,0,0,0,112.703114048378,50.9810563700435
"331","69Pla",69,"Plattenwald",0,0,0,0,0,86,3,12,198.1,152.5,595,51,1,0,1,490732.743537928,5429439.0158178
"332","69Sch",69,"Schotten",0,0,0,0,0,8,3,2,1036.6,210,3880,128,0,0,0,28.94766724453,43.4676669218995
"333","69Wei",69,"Weisweil",0,0,0,0,0,11,1,0,500.3,465,980,106,0,0,0,402086.280854587,5342725.20884432
"334","6Huy",6,"Huy",0,0,0,0,0,37,2,22,106.7,83,244,41,0,0,0,74.4118848847676,68.4300261295193
"335","6Mol",6,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,32.1847466838634,41.4789332325005
"336","6Pla",6,"Plattenwald",0,0,0,0,0,19,4,8,445.4,100,5481,53,0,0,0,490810.84029828,5429439.96240242
"337","6Sch",6,"Schotten",0,0,0,0,0,24,5,5,326.2,184.5,1920,77,0,0,0,111.612168269029,58.5006929100629
"338","6Wei",6,"Weisweil",0,0,0,0,1,80,3,0,142.1,134,439,55,0,0,0,402141.431834714,5342632.69738887
"339","70Huy",70,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,107.945228147834,156.915348007587
"340","70Mol",70,"Mollenfelde",0,0,0,0,0,19,4,8,86.5,78,158,49,0,0,0,109.228208901638,60.2700155961841
"341","70Pla",70,"Plattenwald",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,490726.249057444,5429446.61987745
"342","70Sch",70,"Schotten",0,0,0,0,0,3,2,1,1261,182,3446,155,0,0,0,30.7138581657251,53.2360922073684
"343","70Wei",70,"Weisweil",0,0,0,0,0,17,1,0,176.2,161,282,99,0,0,0,402076.403971181,5342723.64449967
"344","71Huy",71,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,103.687435232183,165.511205006014
"345","71Mol",71,"Mollenfelde",0,0,0,0,0,7,3,3,586.3,347,1610,212,1,0,1,105.753303754897,69.5589748223247
"346","71Pla",71,"Plattenwald",0,0,1,0,0,177,5,29,142.4,106,880,37,9,5,10,490744.622919721,5429409.70915835
"347","71Sch",71,"Schotten",0,0,0,0,0,38,5,5,374.1,235,1570,85,2,0,2,32.4800490869202,63.0045174928373
"348","71Wei",71,"Weisweil",0,0,0,0,0,2,1,0,80,80,89,71,0,0,0,402074.83962653,5342733.52138308
"349","72Huy",72,"Huy",0,0,0,0,0,9,3,1,667.2,382,1550,65,0,0,0,94.6391647075229,161.466301736146
"350","72Mol",72,"Mollenfelde",0,0,1,0,0,44,4,3,83.2,77.5,194,33,0,0,0,102.278398608156,78.8479340484652
"351","72Pla",72,"Plattenwald",0,0,0,0,0,21,3,0,96.2,94,168,39,0,0,0,490751.117400205,5429402.10509869
"352","72Sch",72,"Schotten",0,0,0,0,0,34,4,2,274.9,208,1200,56,0,0,0,34.2462400081153,72.7729427783062
"353","72Wei",72,"Weisweil",0,0,0,0,0,3,2,0,308.7,130,736,60,0,0,0,402084.716509936,5342735.08572773
"354","73Huy",73,"Huy",0,0,0,0,0,53,5,46,96.9,70,560,3,3,0,3,85.5908941828627,157.421398466278
"355","73Mol",73,"Mollenfelde",0,0,0,0,0,10,3,0,564.7,526.5,1100,96,0,0,0,98.8034934614153,88.1368932746058
"356","73Pla",73,"Plattenwald",0,0,0,0,0,18,4,4,215.6,148,875,59,0,0,0,490757.611880688,5429394.50103903
"357","73Sch",73,"Schotten",0,0,1,0,0,8,3,1,86.5,53,236,36,0,0,0,36.0124309293104,82.5413680637751
"358","74Huy",74,"Huy",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,76.5426236582025,153.37649519641
"359","74Mol",74,"Mollenfelde",0,0,0,0,0,24,4,4,168.5,164.5,305,74,0,0,0,95.3285883146746,97.4258525007464
"360","74Pla",74,"Plattenwald",0,0,0,0,0,109,6,39,117,100,845,39,2,1,3,490764.106361171,5429386.89697938
"361","74Sch",74,"Schotten",0,0,0,0,0,95,5,11,191.5,147,1237,5,0,0,0,37.7786218505055,92.309793349244
"362","75Mol",75,"Mollenfelde",0,0,0,0,0,104,1,0,201,170,678,60,0,0,0,91.8536831679338,106.714811726887
"363","75Pla",75,"Plattenwald",0,0,0,0,0,18,5,5,499.8,184,1705,77,0,1,1,490770.600841655,5429379.29291972
"364","75Sch",75,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,28.1078808178913,94.0938245827744
"365","76Mol",76,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,88.3787780211931,116.003770953028
"366","76Pla",76,"Plattenwald",0,0,0,0,0,4,2,0,500.8,495,899,114,0,0,0,490777.095322138,5429371.68886007
"367","76Sch",76,"Schotten",0,0,0,0,0,8,2,1,676.1,447.5,1790,110,0,0,0,26.3416898966962,84.3253992973055
"368","77Mol",77,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,97.5748476550722,119.513776151756
"369","77Pla",77,"Plattenwald",0,0,0,0,1,1,1,0,485,485,485,485,0,0,0,490783.589802621,5429364.08480041
"370","77Sch",77,"Schotten",0,0,0,0,0,11,4,1,206,215,433,48,0,0,0,24.5754989755011,74.5569740118366
"371","78Mol",78,"Mollenfelde",0,0,0,0,0,44,5,2,233.8,178.5,866,86,1,0,1,101.049752801813,110.224816925615
"372","78Sch",78,"Schotten",0,0,0,0,1,4,4,1,864.8,660,1708,431,0,0,0,22.809308054306,64.7885487263677
"373","79Mol",79,"Mollenfelde",0,0,1,0,0,16,3,0,123.1,108.5,325,80,0,0,0,104.524657948554,100.935857699474
"374","79Sch",79,"Schotten",0,0,0,0,0,23,5,8,151.2,134,445,56,4,1,4,7.83999425810646,37.2673041034914
"375","7Huy",7,"Huy",0,0,0,0,0,58,2,55,99.1,91,264,40,0,1,1,65.3636143601074,64.3851228596511
"376","7Mol",7,"Mollenfelde",0,0,0,0,0,5,2,4,152.6,141,194,133,0,0,0,28.7098415371226,50.767892458641
"377","7Pla",7,"Plattenwald",0,0,0,0,0,34,6,11,255.1,107,2351,44,0,0,0,490804.345817797,5429447.56646207
"378","7Sch",7,"Schotten",0,0,0,0,0,71,5,3,155.4,119,1430,48,0,0,0,113.378359190224,68.2691181955318
"379","7Wei",7,"Weisweil",0,0,0,0,0,12,3,1,211.2,128,726,83,0,0,0,402131.554951308,5342631.13304421
"380","80Mol",80,"Mollenfelde",0,0,0,0,0,19,2,3,396.7,115,4485,57,0,1,1,107.999563095294,91.6468984733338
"381","80Sch",80,"Schotten",0,0,0,0,0,42,5,12,156.5,143.5,398,50,1,0,1,9.60618517930156,47.0357293889603
"382","81Mol",81,"Mollenfelde",0,0,0,0,0,7,4,3,213.1,90,663,62,1,0,1,111.474468242035,82.3579392471933
"383","81Sch",81,"Schotten",0,0,0,0,0,8,4,3,227.8,131.5,775,30,0,0,0,11.3723761004967,56.8041546744292
"384","82Mol",82,"Mollenfelde",0,0,0,0,0,11,3,4,536.6,569,1498,94,0,1,1,114.949373388776,73.0689800210527
"385","82Sch",82,"Schotten",0,0,0,0,0,1,1,0,4340,4340,4340,4340,0,0,0,13.1385670216918,66.5725799598981
"386","83Mol",83,"Mollenfelde",0,0,0,0,0,12,2,7,211.7,181,409,98,2,0,2,118.424278535517,63.7800207949121
"387","83Sch",83,"Schotten",0,0,0,0,0,1,1,0,5200,5200,5200,5200,0,0,0,14.9047579428869,76.341005245367
"388","84Mol",84,"Mollenfelde",0,0,0,0,0,22,4,12,172.1,87,920,39,1,0,1,121.899183682257,54.4910615687715
"389","84Sch",84,"Schotten",0,0,0,0,0,3,2,0,155.3,170,196,100,0,0,0,16.670948864082,86.1094305308359
"390","85Mol",85,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,125.374088828998,45.2021023426309
"391","85Sch",85,"Schotten",0,0,0,0,0,11,3,0,582.1,368,1650,60,0,0,0,18.4371397852771,95.8778558163048
"392","86Mol",86,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,127.620348169396,67.2900259936401
"393","86Sch",86,"Schotten",0,0,0,0,1,1,1,0,454,454,454,454,0,0,0,20.2033307064722,105.646281101774
"394","87Mol",87,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,124.145443022655,76.5789852197807
"395","87Sch",87,"Schotten",0,0,0,0,0,25,4,2,119.9,74,790,43,0,0,0,10.532589673858,107.430312335304
"396","88Mol",88,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,120.670537875914,85.8679444459213
"397","88Sch",88,"Schotten",0,0,0,0,0,80,4,2,194.7,130,1205,19,0,0,0,8.76639875266288,97.6618870498352
"398","89Mol",89,"Mollenfelde",0,0,0,0,0,4,2,0,1476,758,4280,108,0,0,0,117.195632729174,95.1569036720619
"399","89Sch",89,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,7.00020783146778,87.8934617643663
"400","8Huy",8,"Huy",0,0,0,0,0,64,4,60,130,104.5,570,28,2,5,7,56.3153438354472,60.3402195897829
"401","8Mol",8,"Mollenfelde",0,0,0,0,0,9,4,6,77.9,62,176,36,0,0,0,25.2349363903819,60.0568516847816
"402","8Pla",8,"Plattenwald",0,0,0,0,0,67,7,19,154.5,132,714,25,0,0,0,490797.851337313,5429455.17052173
"403","8Sch",8,"Schotten",0,0,0,0,0,59,5,11,139.8,116,475,64,0,0,0,115.144550111419,78.0375434810007
"404","8Wei",8,"Weisweil",0,0,0,0,0,61,3,0,62.4,60,102,27,0,0,0,402121.678067902,5342629.56869956
"405","90Mol",90,"Mollenfelde",0,0,0,0,0,9,3,3,1250.1,522,3590,119,1,1,1,113.720727582433,104.445862898202
"406","90Sch",90,"Schotten",0,0,0,0,0,16,5,1,170.6,114,911,53,0,0,0,5.23401691027267,78.1250364788974
"407","91Mol",91,"Mollenfelde",0,0,0,0,0,24,3,1,152.8,141.5,361,77,0,0,0,110.245822435692,113.734822124343
"408","91Sch",91,"Schotten",0,0,0,0,0,11,5,4,836.6,407,2323,107,1,1,2,3.46782598907757,68.3566111934285
"409","92Mol",92,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,106.770917288951,123.023781350484
"410","92Sch",92,"Schotten",0,0,0,0,0,12,4,6,129.2,120.5,245,75,0,2,2,1.70163506788246,58.5881859079596
"411","93Mol",93,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,115.966986922831,126.533786549212
"412","93Sch",93,"Schotten",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-0.0645558533126405,48.8197606224907
"413","94Mol",94,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,119.441892069571,117.244827323071
"414","94Sch",94,"Schotten",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0,-9.73529688592684,50.6037918560211
"415","95Sch",95,"Schotten",0,0,0,0,0,80,5,31,129.1,111.5,404,35,3,0,3,-7.96910596473174,60.37221714149
"416","96Sch",96,"Schotten",0,0,0,0,0,71,6,22,179,136,733,65,1,0,1,-6.20291504353663,70.1406424269589
"417","97Sch",97,"Schotten",0,0,0,0,0,13,3,2,141.8,150,220,80,0,0,0,-4.43672412234153,79.9090677124278
"418","98Sch",98,"Schotten",0,0,0,0,0,5,4,1,989.2,529,2314,145,1,1,1,-2.67053320114643,89.6774929978967
"419","99Sch",99,"Schotten",0,0,0,0,0,21,3,1,187.5,121,1072,41,1,0,1,-0.904342279951322,99.4459182833656
"420","9Huy",9,"Huy",0,0,0,0,0,7,1,7,63.7,69,84,30,0,0,0,52.0575509197964,68.9360765882101
"421","9Mol",9,"Mollenfelde",0,0,0,0,0,2,1,0,1237.5,1237.5,1690,785,0,0,0,21.7600312436412,69.3458109109222
